Date,Prices,Log price,Log Return,Hypothetical Portfolio Loss,EWMA Means
11/15/2012,1353.33,7.210323501,-0.001594791,0.00159352,0.001255365
11/16/2012,1359.88,7.21515174,0.004828239,-0.004839913,0.001072507
11/19/2012,1386.89,7.234819109,0.01966737,-0.019862047,0.00044447
11/20/2012,1387.81,7.235482244,0.000663135,-0.000663355,0.000411235
11/21/2012,1391.03,7.237799759,0.002317515,-0.002320202,0.000329292
11/23/2012,1409.15,7.250741965,0.012942206,-0.013026319,-7.13763E-05
11/26/2012,1406.29,7.24871031,-0.002031655,0.002029592,-8.34722E-06
11/27/2012,1398.94,7.243470086,-0.005240224,0.005226518,0.000148699
11/28/2012,1409.93,7.251295337,0.007825251,-0.007855948,-9.14407E-05
11/29/2012,1415.95,7.255555963,0.004260626,-0.004269716,-0.000216789
11/30/2012,1416.18,7.255718385,0.000162422,-0.000162435,-0.000215158
12/3/2012,1409.46,7.250961931,-0.004756454,0.00474516,-6.63488E-05
12/4/2012,1407.05,7.249250593,-0.001711338,0.001709875,-1.3062E-05
12/5/2012,1409.28,7.250834215,0.001583622,-0.001584876,-6.02165E-05
12/6/2012,1413.94,7.254135413,0.003301198,-0.003306653,-0.00015761
12/7/2012,1418.07,7.257052071,0.002916658,-0.002920916,-0.000240509
12/10/2012,1418.55,7.257390502,0.000338431,-0.000338488,-0.000243448
12/11/2012,1427.84,7.263918092,0.00652759,-0.006548941,-0.000432613
12/12/2012,1428.48,7.264366221,0.000448129,-0.000448229,-0.000433081
12/13/2012,1419.45,7.258024752,-0.006341469,0.006321405,-0.000230447
12/14/2012,1413.58,7.253880773,-0.004143979,0.004135405,-9.94713E-05
12/17/2012,1430.36,7.26568144,0.011800667,-0.01187057,-0.000452604
12/18/2012,1446.79,7.277102588,0.011421148,-0.011486619,-0.000783625
12/19/2012,1435.81,7.269484429,-0.007618159,0.007589215,-0.000532439
12/20/2012,1443.69,7.274957615,0.005473186,-0.005488191,-0.000681112
12/21/2012,1430.15,7.265534613,-0.009423002,0.009378745,-0.000379316
12/24/2012,1426.66,7.263091327,-0.002443286,0.002440303,-0.000294728
12/26/2012,1419.83,7.258292425,-0.004798902,0.004787406,-0.000142264
12/27/2012,1418.1,7.257073226,-0.001219199,0.001218456,-0.000101442
12/28/2012,1402.43,7.245961725,-0.011111501,0.011049996,0.000233101
12/31/2012,1426.19,7.262761832,0.016800107,-0.016942022,-0.000282153
1/2/2013,1462.42,7.287847877,0.025086045,-0.025403347,-0.001035788
1/3/2013,1459.37,7.285760115,-0.002087762,0.002085584,-0.000942147
1/4/2013,1466.47,7.290613431,0.004853317,-0.004865113,-0.001059836
1/7/2013,1461.89,7.287485398,-0.003128033,0.003123146,-0.000934347
1/8/2013,1457.15,7.284237752,-0.003247646,0.003242378,-0.000809045
1/9/2013,1461.02,7.286890101,0.002652349,-0.002655869,-0.00086445
1/10/2013,1472.12,7.294458818,0.007568717,-0.007597432,-0.001066439
1/11/2013,1472.05,7.294411266,-4.76E-05,4.76E-05,-0.001033018
1/14/2013,1470.68,7.293480158,-0.000931108,0.000930675,-0.000974107
1/15/2013,1472.34,7.294608251,0.001128093,-0.00112873,-0.000978746
1/16/2013,1472.63,7.294805197,0.000196946,-0.000196965,-0.000955293
1/17/2013,1480.94,7.3004323,0.005627103,-0.005642965,-0.001095923
1/18/2013,1485.98,7.303829766,0.003397466,-0.003403244,-0.001165142
1/22/2013,1492.56,7.308248045,0.004418279,-0.004428054,-0.00126303
1/23/2013,1494.81,7.309754387,0.001506342,-0.001507477,-0.001270363
1/24/2013,1494.82,7.309761077,6.69E-06,-6.69E-06,-0.001232453
1/25/2013,1502.96,7.315191776,0.005430699,-0.005445472,-0.001358844
1/28/2013,1500.18,7.31334038,-0.001851396,0.001849683,-0.001262588
